# Abbreviation -> full spoken form.
# Absent: spelled out letter by letter via cyrillic_letters.tsv / latin_letters.tsv.
# Seeded from the normalization spec, sections 26-28.
УИХ	Улсын Их Хурал
ЗГ	Засгийн газар
МУИС	Монгол Улсын Их Сургууль
д-р	доктор
проф.	профессор
# Section 31: "СБД 1-р хороо" is "Сүхбаатар дүүргийн нэгдүгээр хороо".
СБД	Сүхбаатар дүүргийн
# Small caps standing alone. The suffixed forms (ЭЗЭНий, ЭЗЭНд, ...) are
# handled by the SMALL_CAPS rule; these bare ones need naming.
ЭЗЭН	Эзэн
БУРХАН	Бурхан
